编号,条目原文,作者/机构,题名,年份,载体类型,DOI,URL,访问日期,是否已核验,核验依据(链接/截图存放到99),备注
1,"ISO 14040:2006. Environmental management — Life cycle assessment — Principles and framework[S]. Geneva: ISO, 2006.",ISO,ISO 14040:2006 Environmental management — Life cycle assessment — Principles and framework,2006,S,,https://www.iso.org/standard/37456.html,2026-02-28,是,https://www.iso.org/standard/37456.html,
2,"ISO 14044:2006. Environmental management — Life cycle assessment — Requirements and guidelines[S]. Geneva: ISO, 2006.",ISO,ISO 14044:2006 Environmental management — Life cycle assessment — Requirements and guidelines,2006,S,,https://www.iso.org/standard/38498.html,2026-02-28,是,https://www.iso.org/standard/38498.html,
3,"ISO 14067:2018. Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification[S]. Geneva: ISO, 2018.",ISO,ISO 14067:2018 Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification,2018,S,,https://www.iso.org/standard/71206.html,2026-02-28,是,https://www.iso.org/standard/71206.html,
4,World Resources Institute; World Business Council for Sustainable Development. Product Life Cycle Accounting and Reporting Standard[EB/OL]. (2011-11)[2026-02-28]. https://ghgprotocol.org/sites/default/files/standards/Product-Life-Cycle-Accounting-Reporting-Standard_041613.pdf.,World Resources Institute; World Business Council for Sustainable Development,Product Life Cycle Accounting and Reporting Standard,2011,S,,https://ghgprotocol.org/sites/default/files/standards/Product-Life-Cycle-Accounting-Reporting-Standard_041613.pdf,2026-02-28,是,https://www.wri.org/research/greenhouse-gas-protocol-product-life-cycle-accounting-and-reporting-standard,
5,"生态环境部, 国家统计局, 国家能源局. 关于发布2024年电力碳足迹因子数据的公告[EB/OL]. (2025-10-23)[2026-02-28]. https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/t20251024_1130734.html.",生态环境部; 国家统计局; 国家能源局,关于发布2024年电力碳足迹因子数据的公告,2025,EB/OL,,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/t20251024_1130734.html,2026-02-28,是,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/t20251024_1130734.html,
6,"生态环境部, 国家统计局. 关于发布2023年电力二氧化碳排放因子的公告[EB/OL]. (2025-12-31)[2026-02-28]. https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html.",生态环境部; 国家统计局,关于发布2023年电力二氧化碳排放因子的公告,2025,EB/OL,,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html,2026-02-28,是,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html,
7,"Viluksela P, Kariniemi M, Nors M. Environmental performance of digital printing: Literature study[R/OL]. Espoo: VTT Technical Research Centre of Finland, 2010. (VTT Tiedotteita - Research Notes 2538)[2026-02-28]. https://publications.vtt.fi/pdf/tiedotteet/2010/T2538.pdf.",Viluksela P; Kariniemi M; Nors M,Environmental performance of digital printing: Literature study. VTT Research Notes 2538,2010,R,,https://publications.vtt.fi/pdf/tiedotteet/2010/T2538.pdf,2026-02-28,是,https://cris.vtt.fi/en/publications/environmental-performance-of-digital-printing-literature-study/,
8,"Pihkola H, Nors M, Kujanpää M, Helin T, Kariniemi M, Pajula T. Carbon footprint and environmental impacts of print products from cradle to grave: Results from the LEADER project (Part 1)[R/OL]. Espoo: VTT Technical Research Centre of Finland, 2010. (VTT Research Notes 2560)[2026-02-28]. https://publications.vtt.fi/pdf/tiedotteet/2010/T2560.pdf.",Pihkola H; Nors M; Kujanpää M; Helin T; Kariniemi M; Pajula T; Dahlbo H; Koskela S,Carbon footprint and environmental impacts of print products from cradle to grave: Results from the LEADER project (Part 1). VTT Research Notes 2560,2010,R,,https://publications.vtt.fi/pdf/tiedotteet/2010/T2560.pdf,2026-02-28,是,https://publications.vtt.fi/pdf/tiedotteet/2010/T2560.pdf,
9,"Strecker T, Lesage P. Environmental Life Cycle Assessment of Commercial Analog and Digital Printing[C/OL]//NIP26 and Digital Fabrication 2010 Technical Program and Proceedings. 2010:97-101[2026-02-28]. https://library.imaging.org/admin/apis/public/api/ist/website/downloadArticle/print4fab/26/1/art00026_1.",Strecker T; Lesage P,"Environmental Life Cycle Assessment of Commercial Analog and Digital Printing. Proc. IS&T Int'l Conf. on Digital Printing Technologies and Digital Fabrication (NIP26), pp. 97-101",2010,C,10.2352/ISSN.2169-4451.2010.26.1.art00026_1,https://library.imaging.org/print4fab/articles/26/1/art00026_1,2026-02-28,是,https://library.imaging.org/print4fab/articles/26/1/art00026_1,
10,"Larsen H F, Hansen M S, Hauschild M Z. Life cycle assessment of offset printed matter with EDIP97: how important are emissions of chemicals?[J]. Journal of Cleaner Production, 2009, 17(2):115-128. DOI:10.1016/j.jclepro.2008.03.006.",Larsen H F; Hansen M S; Hauschild M Z,"Life cycle assessment of offset printed matter with EDIP97: how important are emissions of chemicals? Journal of Cleaner Production, 17(2):115-128",2009,J,10.1016/j.jclepro.2008.03.006,https://doi.org/10.1016/j.jclepro.2008.03.006,2026-02-28,是,https://www.sciencedirect.com/science/article/abs/pii/S0959652608000516,
11,Two Sides North America. Printing & Writing Papers – Life-Cycle Assessment Summary Report[R/OL]. (2012-02-14)[2026-02-28]. https://twosidesna.org/wp-content/uploads/sites/16/2018/05/Printing_and_Writing_Papers_-_Life-Cycle_Assessment_Summary_Report.pdf.,Two Sides North America,Printing & Writing Papers – Life-Cycle Assessment Summary Report,2012,R/OL,,https://twosidesna.org/wp-content/uploads/sites/16/2018/05/Printing_and_Writing_Papers_-_Life-Cycle_Assessment_Summary_Report.pdf,2026-02-28,是,https://twosidesna.org/printing-and-writing-papers-life-cycle-assessment-summary-report/,
12,"Tomberlin K E, Venditti R, Yao Y. Life Cycle Carbon Footprint Analysis of Pulp and Paper Grades in the United States Using Production-line-based Data and Integration[J/OL]. BioResources, 2020, 15(2):3899-3914[2026-02-28]. https://bioresources.cnr.ncsu.edu/wp-content/uploads/2020/04/BioRes_15_2_3899_Tomberlin_VY_Life_Cycle_C_Footprint_Pulp_Paper_Grades_US_Prodn_16450.pdf.",Tomberlin K E; Venditti R; Yao Y,"Life cycle carbon footprint analysis of pulp and paper grades in the United States using production-line-based data and integration. BioResources, 15(2):3899-3914",2020,J,,https://bioresources.cnr.ncsu.edu/resources/life-cycle-carbon-footprint-analysis-of-pulp-and-paper-grades-in-the-united-states-using-production-line-based-data-and-integration/,2026-02-28,是,https://bioresources.cnr.ncsu.edu/resources/life-cycle-carbon-footprint-analysis-of-pulp-and-paper-grades-in-the-united-states-using-production-line-based-data-and-integration/,
13,"Vos R O, Newell J. A Comparative Analysis of Carbon Dioxide Emissions in Coated Paper Production: Key Differences between China and the U.S.[R/OL]. 2009[2026-02-28]. https://urbansustainability.seas.umich.edu/wp-content/uploads/2014/08/2009_Vos-and-Newell_A-Comparative-Analysis-of-Carbon-Dioxide-Emissions-in-Coated-Paper-Production.pdf.",Vos R O; Newell J,A Comparative Analysis of Carbon Dioxide Emissions in Coated Paper Production: Key Differences between China and the U.S.,2009,R/OL,,https://urbansustainability.seas.umich.edu/wp-content/uploads/2014/08/2009_Vos-and-Newell_A-Comparative-Analysis-of-Carbon-Dioxide-Emissions-in-Coated-Paper-Production.pdf,2026-02-28,是,https://urbansustainability.seas.umich.edu/wp-content/uploads/2014/08/2009_Vos-and-Newell_A-Comparative-Analysis-of-Carbon-Dioxide-Emissions-in-Coated-Paper-Production.pdf,
14,"Kariniemi M, Nors M, Pihkola H, Kujanpää M, Pajula T. Evaluating environmental sustainability of digital printing[C/OL]//NIP 26 (Digital Fabrication). 2010[2026-02-28]. https://projectsites.vtt.fi/sites/leader/www.vtt.fi/sites/leader/en/nip26_vtt_leader_kariniemi_200910.pdf.",Kariniemi M; Nors M; Kujanpää M; Pajula T; Pihkola H,"Evaluating Environmental Sustainability of Digital Printing. Proc. IS&T Int'l Conf. on Digital Printing Technologies and Digital Fabrication (NIP26), pp. 92-96",2010,C,10.2352/ISSN.2169-4451.2010.26.1.art00025_1,https://library.imaging.org/print4fab/articles/26/1/art00025_1,2026-02-28,是,https://library.imaging.org/print4fab/articles/26/1/art00025_1,
15,"生态环境部, 国家统计局, 国家能源局. 2024年全国电力碳足迹因子[EB/OL]. (2025-10-23)[2026-02-28]. https://big5.mee.gov.cn/gate/big5/www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/W020251024569470952545.pdf.",生态环境部; 国家统计局; 国家能源局,2024年全国电力碳足迹因子（公告附件）,2025,EB/OL,,https://big5.mee.gov.cn/gate/big5/www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/W020251024569470952545.pdf,2026-02-28,是,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202510/t20251024_1130734.html,用于状态核验/附件引用；正文可只保留一条代表性引用
16,"生态环境部, 国家统计局. 2023年电力二氧化碳排放因子[EB/OL]. (2025-12-31)[2026-02-28]. https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf.",生态环境部; 国家统计局,2023年电力二氧化碳排放因子（公告附件）,2025,EB/OL,,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/W020251231726284332528.pdf,2026-02-28,是,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html,用于状态核验/附件引用；正文可只保留一条代表性引用
17,ISO. ISO 14040:2006 - Environmental management — Life cycle assessment — Principles and framework[EB/OL]. (2006)[2026-02-28]. https://www.iso.org/standard/37456.html.,ISO,ISO 14040:2006 - Environmental management — Life cycle assessment — Principles and framework（标准状态页）,2006,EB/OL,,https://www.iso.org/standard/37456.html,2026-02-28,是,https://www.iso.org/standard/37456.html,用于状态核验/附件引用；正文可只保留一条代表性引用
18,ISO. ISO 14044:2006 - Environmental management — Life cycle assessment — Requirements and guidelines[EB/OL]. (2006)[2026-02-28]. https://www.iso.org/standard/38498.html.,ISO,ISO 14044:2006 - Environmental management — Life cycle assessment — Requirements and guidelines（标准状态页）,2006,EB/OL,,https://www.iso.org/standard/38498.html,2026-02-28,是,https://www.iso.org/standard/38498.html,用于状态核验/附件引用；正文可只保留一条代表性引用
19,ISO. ISO 14067:2018 - Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification[EB/OL]. (2018)[2026-02-28]. https://www.iso.org/standard/71206.html.,ISO,ISO 14067:2018 - Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification（标准状态页）,2018,EB/OL,,https://www.iso.org/standard/71206.html,2026-02-28,是,https://www.iso.org/standard/71206.html,用于状态核验/附件引用；正文可只保留一条代表性引用
20,ISO. ISO/WD 14067 - Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification[EB/OL]. (2024-10-14)[2026-02-28]. https://www.iso.org/standard/90578.html.,ISO,ISO/WD 14067 - Greenhouse gases — Carbon footprint of products — Requirements and guidelines for quantification（工作草案状态页）,,EB/OL,,https://www.iso.org/standard/90578.html,2026-02-28,是,https://www.iso.org/standard/90578.html,用于状态核验/附件引用；正文可只保留一条代表性引用
