论点编号,论点内容（中性表述）,证据类型,关键数据/结论,适用边界,潜在偏差/局限,拟放入章节位置,是否需二次核验
E01,ISO 14040:2006 是本研究LCA总框架依据,国际标准（ISO）,规定LCA原则与框架；用于目标与范围、清单、影响评价、解释框架,LCA通用方法层,公开页面可核验版本与状态，条文细节需标准文本核验,第3章3.1/3.2,是
E02,ISO 14044:2006 是本研究实施要求依据,国际标准（ISO）,规定LCA要求与指南；支撑可比性、数据质量、分配、结果解释等,LCA实施与报告层,具体条款引用需标准正文核验,第3章3.1/3.4,是
E03,ISO 14067:2018 是产品碳足迹直接依据（ISO官网状态页+WD信息用于版本状态说明）,国际标准（ISO）,用于CFP量化与报告；需记录采用版本与检索日期；ISO官网状态页可证明现行版本信息，WD页面可证明存在修订工作稿（仅元信息）。,产品碳足迹（气候变化单一类别）,ISO页面为元信息；条款细节仍需标准正文核验；WD不代表已发布新版本。,第3章3.1（标准依据与版本状态说明）,否
E04,GHG Protocol Product Standard 可作为产品层级核算补充框架,国际标准/机构标准（WRI/WBCSD）,产品生命周期核算与报告标准（2011）；补充答辩解释产品层级逻辑,补充说明，不替代ISO主线,非本研究主标准；需避免替代关系表述错误,第2章/第3章3.1,否
E05,中国官方电力碳足迹因子公告可用于产品碳足迹/LCA场景,官方公告+附件PDF,2024年全国电力平均碳足迹因子=0.5777 kgCO2e/kWh（用于产品碳足迹/LCA场景）,中国电网口径；注意年份/区域层级,年份会更新；需在论文中记录采用年份与获取日期。,第2章2.3.3；第3章3.3.2；第4章4.1,是
E06,中国官方电力CO₂排放因子可作为补充/敏感性分析口径,官方公告（生态环境部等）,主要用于电力消费CO₂核算；与电力碳足迹因子口径不同,企业/项目/活动电力CO₂核算,若与CFP主线混用会导致不可比,第3章3.3（对照说明）,是
E07,S1功能单位应固定为同规格同质量要求印刷任务,研究设定（论文方法）,1000份A4双面四色宣传单（157g铜版纸，单页）,仅适用于该功能单位情景,订单类型变化会改变可比性,第3章3.3（纸张因子来源）; 第4章4.3（敏感性说明）,否
E08,当前模型V2为纸张+电力的阶段性结果，不是最终完整CFP,Excel模型计算结果,数字印刷约19.6017，胶印约29.6166 kgCO₂e/1000张（主线参数）,仅当前估算参数与混合边界下成立,电耗估算、油墨/版材缺失导致不确定性较高,第4章4.3（敏感性）,是
E09,铜版纸因子主线1.29与中国备选1.49应通过敏感性分析比较,数据库/企业实测候选（待最终引用固化）,用于纸张项敏感性分析，不直接混为单一真值,157g铜版纸对应/近似材料口径,来源适配性与代表性需人工核验,第4章敏感性分析/第5章讨论,是
E10,Two Sides 报告提供印刷纸（含涂布自由纸/CWF）的cradle-to-gate行业平均全球变暖结果，可用于纸张因子候选与敏感性分析。,行业LCA报告（公开PDF）,Coated Free = 1469 kg CO2 eq / bone-dry short ton；折算=1.619 kgCO2e/kg（short ton=907.18474 kg）。,Cradle-to-gate（行业平均），单位换算到kgCO2e/kg后可用于纸张材料项。,报告为行业平均且为北美/印刷纸类别；对中国工厂代表性有限；需在论文中说明‘行业平均/地区差异’。,第3章3.3；第4章4.3（扩展敏感性）,否
E11,"BioResources（Tomberlin et al., 2020）给出美国252家纸厂cradle-to-gate温室气体排放的生产加权平均与范围，可用于纸张因子量级校验。",同行评审期刊论文（公开PDF）,生产加权平均=942 kg CO2eq/metric ton（=0.942 kgCO2e/kg）；范围=608–1978 kg CO2eq/metric ton（=0.608–1.978 kgCO2e/kg）。,Cradle-to-gate；跨纸种总体量级对照（非专指铜版纸）。,跨纸种平均不能直接替代‘铜版纸/CWF’；仅用于合理区间校验。,第2章2.3.2（量级对照）；第4章4.3（讨论）,否
E12,Vos & Newell (2009) 对coated freesheet的中美供应链制造嵌入能源相关CO2进行比较，可用于说明地区差异与时效性风险。,研究报告（公开PDF）,制造嵌入能源相关CO2：U.S.(NewPage)=1432 kg CO2/FMT；China industry=2478 kg CO2/FMT。,仅CO2；仅制造嵌入能源；不等同于完整cradle-to-gate CO2e。,边界截断明显；不可直接作为纸张因子；仅用于讨论‘地区差异/时效性/边界一致性’。,第2章2.3.2（地区差异讨论）；第4章4.6（局限）,否
E13,EPD-CN-00014 经核验为不锈钢产品EPD，与纸张无关，应从证据链中剔除。,EPD注册信息（官网）,EPD-CN-00014 产品名称为GTINDUSTRY-不锈钢产品（非纸张）。,证据排除（避免误引用）。,无,01_DR证据包（排除项说明）,否
E14,官方附件PDF提供2024年全国电力平均碳足迹因子及分电源类型因子，可直接用于CFP口径电力因子取值。,官方PDF（MEE等）,全国平均电力碳足迹因子=0.5777 kgCO2e/kWh；含燃煤/燃气/水电等分类型因子与输配电因子。,中国电力；CFP口径（CO2e）；采用2024年数据。,需声明采用年份；与CO2因子口径不同，不能混用。,第3章3.3；第4章4.1/4.4,否
E15,官方附件PDF提供2023年全国/区域/省级电力二氧化碳排放因子，可用于地区差异敏感性范围对照（CO2口径）。,官方PDF（MEE等）,全国平均CO2因子=0.5306 kgCO2/kWh；提供区域/省级因子表。,电力消费CO2核算；CO2口径（非CO2e）。,仅CO2，不等同CO2e；用于对照说明而非CFP主线。,第3章3.3；第4章4.4,否
E16,ISO官网信息显示ISO 14040:2006与ISO 14044:2006在2022年复审确认仍有效（含修订/增补）。,标准信息页（ISO官网）,ISO页面显示“last reviewed and confirmed in 2022”；并列出Amd信息。,标准状态核验（非条文本身）,ISO页面为元信息；条款细节仍需标准正文核验。,第3章3.1方法学依据（版本状态说明）,否
E17,在本研究生产阶段V2边界与当前参数下，纸张项为两工艺碳足迹的主要贡献来源。,本研究模型计算（Excel MASTER链）,纸张项占比：数字印刷约78.3%，胶印约70.8%（纸张因子=1.29情景）。,仅对本研究功能单位与边界成立,纸张因子1.29/1.49仍为待核验占位；占比会随因子与活动数据变化。,第4章4.6.1贡献结构；第5章5.1结论解释,否
E18,ISO官网页面可用于证明ISO 14067:2018状态（2024复审确认仍有效）,官网页面（ISO）,ISO 14067:2018页面显示该标准已在2024年复审确认仍为现行版本（需记录访问日期）。,标准状态证明（非标准正文条款）,官网页面仅证明版本状态；具体条款要求仍需标准正文核验。,第3章3.1（标准有效性说明）；附录/证据矩阵,否
E19,在V2边界（纸张+电力）下，可用阈值推导解释“结论是否可能反转”，阈值由纸张差异与电力因子共同决定。,模型推导（基于已引用活动数据与因子）,"阈值公式：kWh_offset* = kWh_digital − (Δm×EF_paper)/EF_elec；在当前主线参数（EF_paper=1.29, EF_elec=0.5777）与Δm=0.69、kWh_digital=6.13条件下，kWh_offset*≈4.59 kWh/1000张（详见第4章4.4）。",仅适用于V2（纸张+电力）；不包含油墨/版材/清洗剂等项,对活动数据与因子敏感；若后续替换电耗/纸张因子/电力因子，阈值需同步复算。,第4章4.4（阈值分析）,否
E20,ISO官网存在ISO/WD 14067页面，可用于证明ISO 14067正在修订流程中（仅元信息）。,官网页面（ISO）,ISO/WD 14067 页面可作为“修订工作稿存在”的证据；需记录访问日期，不可据此推断已发布新版。,标准状态证明（非标准正文条款）,WD属于工作草案阶段；不等于正式发布标准；内容不可替代ISO 14067:2018正文。,第3章3.1（版本状态说明）；第5章5.2（局限/时效性说明）,否
